title,price_gbp,price_inr,rating,in_stock,category
The Requiem Red,22.65,2389.57,4,True,Young Adult
Set Me Free,17.46,1842.03,3,True,Young Adult
The Natural History of ...,45.22,4770.71,5,True,Young Adult
Obsidian (Lux #1),14.86,1567.73,4,True,Young Adult
Burning,28.81,3039.46,3,True,Young Adult
A Fierce and Subtle ...,28.13,2967.71,5,True,Young Adult
Scarlett Epstein Hates It ...,43.55,4594.52,4,True,Young Adult
Nightingale Sing,38.28,4038.54,3,True,Young Adult
Library of Souls,48.56,5123.08,5,True,Young Adult
Frostbite (Vampire Academy #2),29.99,3163.94,4,True,Young Adult
Wild Swans,14.36,1514.98,3,True,Young Adult
Until Friday Night,46.31,4885.7,5,True,Young Adult
This Is Where It ...,27.12,2861.16,4,True,Young Adult
The Darkest Lie,35.35,3729.42,3,True,Young Adult
My Kind of Crazy,40.36,4257.98,5,True,Young Adult
Don't Get Caught,55.35,5839.42,4,True,Young Adult
Catching Jordan (Hundred Oaks),50.83,5362.56,3,True,Young Adult
Aristotle and Dante Discover ...,58.14,6133.77,5,True,Young Adult
The Epidemic,14.44,1523.42,4,True,Young Adult
Stars Above,48.05,5069.27,3,True,Young Adult
No Love Allowed,54.65,5765.58,5,True,Young Adult
Exit Pursued by a ...,51.34,5416.37,4,True,Young Adult
The Alien Club,54.4,5739.2,3,True,Young Adult
Don't Forget Steven,33.23,3505.76,5,True,Young Adult
South of Sunshine,28.93,3052.12,4,True,Young Adult
My Life Next Door,36.39,3839.14,3,True,Young Adult
Future Shock,55.65,5871.08,5,True,Young Adult
Nightstruck A Novel,50.35,5311.92,4,True,Young Adult
Tell the Wolves I'm ...,50.96,5376.28,3,True,Young Adult
Will Grayson Will Grayson ...,47.31,4991.2,5,True,Young Adult
Where She Went,41.73,4402.51,4,True,Young Adult
Two Summers,14.64,1544.52,3,True,Young Adult
The Darkest Corners,11.33,1195.32,5,True,Young Adult
Tell Me Three Things,41.81,4410.96,4,True,Young Adult
Lola and the Boy ...,23.63,2492.96,3,True,Young Adult
Kill the Boy Band,15.52,1637.36,5,True,Young Adult
Isla and the Happily ...,48.13,5077.72,4,True,Young Adult
An Abundance of Katherines,10.0,1055.0,3,True,Young Adult
Harry Potter and the ...,24.17,2549.94,5,True,Young Adult
Walk the Edge,32.36,3413.98,4,True,Young Adult
Two Boys Kissing,32.74,3454.07,3,True,Young Adult
The New Guy,44.92,4739.06,5,True,Young Adult
"The Land of 10,000 ...",29.64,3127.02,4,True,Young Adult
Scarlet (The Lunar Chronicles),14.57,1537.14,3,True,Young Adult
Legend (Legend #1),43.69,4609.3,5,True,Young Adult
Lady Renegades,53.04,5595.72,4,True,Young Adult
Golden (Heart of Dread),42.21,4453.16,3,True,Young Adult
Cinder (The Lunar Chronicles),26.09,2752.5,5,True,Young Adult
Boy Meets Boy,21.12,2228.16,4,True,Young Adult
Annie on My Mind,36.83,3885.56,3,True,Young Adult
New Moon (Twilight #2),12.86,1356.73,5,True,Young Adult
Girl Online On Tour,53.47,5641.08,4,True,Young Adult
The Haters,27.89,2942.4,3,True,Young Adult
The Art of Not ...,40.83,4307.56,5,True,Young Adult
The Mysterious Affair at ...,24.8,2616.4,4,True,Mystery
In the Woods,38.38,4049.09,3,True,Mystery
The Silkworm,23.05,2431.78,5,True,Mystery
The Exiled,43.45,4583.98,4,True,Mystery
The Cuckoo's Calling,19.21,2026.66,3,True,Mystery
Extreme Prey,25.4,2679.7,5,True,Mystery
The Coming Woman A Novel,17.93,1891.62,4,True,Fiction
The Boys in the Boat,22.6,2384.3,3,True,Fiction
Starving Hearts,13.99,1475.94,5,True,Fiction
America's Cradle of Quarterbacks,22.5,2373.75,4,True,Fiction
Aladdin and His Wonderful Lamp,53.13,5605.22,3,True,Fiction
Penny Maybe,33.29,3512.1,5,True,Fiction
Maude 1883-1993,18.02,1901.11,4,True,Fiction
The Inefficiency Assassin,20.59,2172.24,3,True,Fiction
Soul Reader,39.58,4175.69,5,True,Fiction
Bossypants,49.46,5218.03,4,True,Fiction
A World of Flavor,42.95,4531.23,3,True,Fiction
A Piece of Sky,56.76,5988.18,5,True,Fiction
Tracing Numbers on a Surface,41.6,4388.8,4,True,Fiction
Thirteen Reasons Why,52.72,5561.96,3,True,Fiction
The Secret,27.37,2887.54,5,True,Fiction
The Psychopath Test,36.0,3798.0,4,True,Fiction
The Kite Runner,41.82,4412.01,3,True,Fiction
The Girl on the Train,55.02,5804.61,5,True,Fiction
The Emerald Mystery,23.15,2442.32,4,True,Fiction
The Bridge to Consciousness,32.0,3376.0,3,True,Fiction
