title,price_gbp,rating
The Darkest Corners,11.33,5
New Moon (Twilight #2),12.86,5
Starving Hearts,13.99,5
The Epidemic,14.44,4
Obsidian (Lux #1),14.86,4
Kill the Boy Band,15.52,5
The Coming Woman A Novel,17.93,4
Maude 1883-1993,18.02,4
Boy Meets Boy,21.12,4
America's Cradle of Quarterbacks,22.5,4
The Requiem Red,22.65,4
The Silkworm,23.05,5
The Emerald Mystery,23.15,4
Harry Potter and the ...,24.17,5
The Mysterious Affair at ...,24.8,4
Extreme Prey,25.4,5
Cinder (The Lunar Chronicles),26.09,5
This Is Where It ...,27.12,4
The Secret,27.37,5
A Fierce and Subtle ...,28.13,5
South of Sunshine,28.93,4
"The Land of 10,000 ...",29.64,4
Frostbite (Vampire Academy #2),29.99,4
