title,price_gbp,category_id
Kill the Boy Band,15.52,3
Set Me Free,17.46,3
The Coming Woman A Novel,17.93,1
Maude 1883-1993,18.02,1
The Cuckoo's Calling,19.21,2
The Inefficiency Assassin,20.59,1
Boy Meets Boy,21.12,3
America's Cradle of Quarterbacks,22.5,1
The Boys in the Boat,22.6,1
The Requiem Red,22.65,3
The Silkworm,23.05,2
The Emerald Mystery,23.15,1
Lola and the Boy ...,23.63,3
Harry Potter and the ...,24.17,3
The Mysterious Affair at ...,24.8,2
Extreme Prey,25.4,2
Cinder (The Lunar Chronicles),26.09,3
This Is Where It ...,27.12,3
The Secret,27.37,1
The Haters,27.89,3
A Fierce and Subtle ...,28.13,3
Burning,28.81,3
South of Sunshine,28.93,3
"The Land of 10,000 ...",29.64,3
Frostbite (Vampire Academy #2),29.99,3
